a52dec 0.8.0-2
abiword 3.0.5-3
abseil-cpp 20230802.1-1.1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
aiksaurus 1.2.1-9
alacritty 0.13.0-2
alsa-card-profiles 1:1.0.0-2.1
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
aom 3.8.0-2
archlinux-keyring 20231222-1
archlinux-mirrorlist 20230820-1
aria2 1.37.0-1
artix-archlinux-support 2-1
artix-keyring 20220901-2
artix-mirrorlist 20231003-1
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
attr 2.5.1-3
audit 3.1.2-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r189+g35bb1ba-1
base 3-3
base-devel 1-1
bash 5.2.021-1
binutils 2.41-3
bison 3.8.2-6
bluez 5.71-3
bluez-libs 5.71-3
bluez-utils 5.71-3
brightnessctl 0.5.1-2.2
brotli 1.1.0-1
btop 1.2.13-1
bzip2 1.0.8-5
c-ares 1.23.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.96.1-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
cmus 2.10.0-4
coreutils 9.4-2
curl 8.5.0-1
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-1
dbus-dinit 20230906-4
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.22-2.1
dhcpcd 10.0.6-1
dhcpcd-dinit 20230205-2
diffutils 3.10-1
dinit 0.17.1-1
dinit-base 0.17.1-1
dinit-rc 0.2.3-1
dnssec-anchors 20190629-3
double-conversion 3.3.0-1
duktape 2.7.0-6
e2fsprogs 1.47.0-1
efibootmgr 18-2
efivar 38-3
egl-wayland 2:1.1.13-1
eglexternalplatform 1.1-2.1
ell 0.61-1
elogind 252.9-3
elogind-dinit 20211030-1
enchant 2.6.4-2
esysusers 255.2-1
etmpfiles 255.2-1
exfat-utils 1.4.0-2
expat 2.5.0-1
faac 1.30-4
faad2 2.11.1-1
fakeroot 1.32.2-1
fd 9.0.0-1
ffmpeg 2:6.1-3
fftw 3.3.10-4
file 5.45-1
filesystem 2023.09.18-1
findutils 4.9.0-3
firefox 121.0-1
fish 3.6.4-1
fisher 4.4.4-1
flac 1.4.3-1
flex 2.6.4-5
fontconfig 2:2.15.0-1
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse2 2.9.9-4.1
fuse3 3.16.2-1
gawk 5.3.0-1
gc 8.2.4-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gdu 5.25.0-1
geoclue 2.7.1-1.1
gettext 0.22.4-1
ghostscript 10.02.1-1
giflib 5.2.1-2.1
git 2.43.0-1
glib-networking 1:2.78.0-1
glib2 2.78.3-1
glibc 2.38-7
glibmm 2.66.6-1
glslang 13.1.1-3
glu 9.0.3-1
gmp 6.3.0-1
gnu-free-fonts 20120503-8
gnupg 2.4.3-2
gnutls 3.8.2-1
gobject-introspection-runtime 1.78.1-1
goffice 0.10.56-1
gperftools 2.13-2
gpgme 1.23.2-1
graphene 1.10.8-1
graphicsmagick 1.3.42-1
graphite 1:1.3.14-3
grep 3.11-1
groff 1.23.0-5
grub 2:2.12-1
gsettings-desktop-schemas 45.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gssdp 1.6.3-1
gst-libav 1.22.8-1
gst-plugins-bad-libs 1.22.8-1
gst-plugins-base-libs 1.22.8-1
gstreamer 1.22.8-1
gtk-update-icon-cache 1:4.12.4-1
